feature,importance
v14,0.18842490489168687
v10,0.11501804537517327
v12,0.10475244576448572
v4,0.09684966228206723
v17,0.09455961574094843
v3,0.06006571652597659
v16,0.05371285822467899
v11,0.05276749669517728
v2,0.03665578509671046
v9,0.025330053119227855
v7,0.018883463378766473
v21,0.014061503938046269
v18,0.012267051588224156
v8,0.011580005826758267
v27,0.011565681386024712
v19,0.01052068640586181
v1,0.009537621329853497
v6,0.008787403520772553
v15,0.008402954782465211
v20,0.008385966677804694
v5,0.008101437194235523
v13,0.007358577704694157
v26,0.006634968946840536
amount,0.006590920218925612
v28,0.005724110175169036
v22,0.0054148756150837404
v24,0.005195279594192958
v25,0.005189840390772322
time,0.0040006383156141615
v23,0.0036604292937615075
